page;component;type;x;y;width;height;notes
ev_homey;ev_soc;Text;30;100;420;32;ev_soc
ev_homey;ev_time;Text;30;145;420;32;ev_time
ev_homey;ev_energy;Text;30;180;420;32;ev_energy
ev_homey;ev_current;Text;30;220;420;32;ev_current
battery_homey;bat_soc;Text;165;60;150;70;SOC %
battery_homey;bat_charge;Text;25;150;130;55;bat_charge
battery_homey;bat_discharge;Text;175;150;130;55;bat_discharge
battery_homey;bat_net;Text;325;150;130;55;bat_net
battery_homey;bat_graph;Hotspot;20;220;210;45;open graph
battery_homey;bat_settings;Hotspot;250;220;210;45;settings
